uce,ominor,obimaculoides,lpealeii,ovulgaris,pcanaliculata
uce-22018,1,1,1,1,.
uce-27538,.,.,1,.,.
uce-20928,.,1,1,1,1
uce-26006,1,1,1,1,.
uce-8346,.,1,.,.,1
uce-27539,1,1,1,1,1
uce-22010,1,1,1,1,.
uce-20920,1,1,1,1,1
uce-20921,1,1,.,1,1
uce-26553,1,1,1,1,.
uce-11267,1,1,1,1,.
uce-20925,.,1,1,1,1
uce-23228,.,1,.,1,.
uce-13975,1,1,1,1,.
uce-17795,1,1,1,1,.
uce-12404,.,1,.,.,1
uce-14659,1,1,1,1,.
uce-7817,.,1,1,1,1
uce-7810,1,1,1,1,1
uce-12064,1,1,1,1,.
uce-15755,.,1,1,1,.
uce-12065,1,1,1,1,.
uce-36002,1,1,1,1,.
uce-33521,1,1,1,1,1
uce-26106,1,1,1,1,.
uce-38257,.,1,1,1,.
uce-33529,1,1,1,1,.
uce-4072,1,1,1,1,.
uce-11661,.,.,.,.,.
uce-11660,.,.,.,.,.
uce-11663,1,1,1,1,.
uce-11662,.,.,.,.,.
uce-35507,1,1,1,1,.
uce-27533,1,1,1,1,.
uce-7253,1,1,1,1,.
uce-7251,1,1,1,1,.
uce-30954,1,1,1,1,.
uce-29669,1,1,1,1,1
uce-17876,1,1,1,1,.
uce-17877,1,1,1,1,.
uce-15638,1,1,1,1,1
uce-32150,.,.,.,.,.
uce-32151,.,.,.,.,.
uce-27150,1,1,1,1,1
uce-32153,.,.,1,.,.
uce-32154,.,.,1,.,.
uce-27157,1,1,1,1,.
uce-21478,1,.,1,1,1
uce-31600,1,1,1,1,.
uce-14725,.,1,1,1,1
uce-31602,1,1,1,1,.
uce-39322,1,1,1,1,.
uce-28859,.,.,.,.,.
uce-27024,.,1,1,1,1
uce-36135,1,1,1,1,.
uce-24444,1,1,1,1,1
uce-20957,1,1,1,1,.
uce-33942,.,.,1,.,.
uce-677,.,.,.,.,.
uce-13394,.,1,1,1,1
uce-24448,1,1,1,1,1
uce-11065,1,1,1,1,.
uce-3047,1,1,1,1,1
uce-2263,.,.,.,.,1
uce-2264,.,.,.,.,.
uce-2265,.,.,.,.,.
uce-29401,1,1,.,1,1
uce-3821,1,1,1,1,1
uce-2269,1,1,1,1,.
uce-19352,1,.,.,.,.
uce-20658,1,1,1,1,.
uce-4853,1,1,1,1,.
uce-29793,1,1,1,1,.
uce-4857,1,1,1,1,.
uce-10579,1,1,1,1,.
uce-26771,1,1,1,1,1
uce-15247,1,1,1,1,.
uce-26772,1,1,1,1,1
uce-29881,1,1,1,1,.
uce-29886,1,1,1,1,.
uce-22275,.,.,.,.,.
uce-29885,1,1,1,1,.
uce-37351,1,1,1,1,.
uce-723,1,1,1,1,.
uce-16272,.,.,.,.,.
uce-16271,.,.,.,.,.
uce-16270,.,.,.,.,.
uce-8656,.,1,1,1,1
uce-4109,.,.,.,.,.
uce-29067,1,1,1,1,.
uce-821,.,1,1,1,1
uce-36006,.,1,1,1,1
uce-2407,1,1,1,1,1
uce-2401,1,1,1,1,.
uce-35112,1,1,1,1,1
uce-6115,1,1,1,1,1
uce-168,1,1,1,1,1
uce-40090,.,.,.,.,.
uce-9695,1,1,1,1,.
uce-40093,1,1,1,1,.
uce-40726,1,1,1,1,.
uce-27838,1,1,1,1,1
uce-21096,1,1,1,1,.
uce-40099,1,1,1,1,1
uce-38767,1,1,1,1,1
uce-17457,1,1,1,1,1
uce-3911,1,1,1,1,.
uce-27830,1,1,1,1,1
uce-3912,1,1,1,1,.
uce-12360,1,1,1,1,.
uce-3066,1,1,1,1,.
uce-20782,1,1,1,1,1
uce-22640,1,1,1,1,.
uce-20780,1,1,1,1,1
uce-21656,1,1,1,1,.
uce-27192,1,1,1,1,1
uce-4206,.,.,.,.,.
uce-31829,1,1,1,1,1
uce-28421,.,.,.,.,.
uce-2061,1,1,1,1,.
uce-9746,1,1,1,1,.
uce-6030,1,1,1,1,.
uce-17866,1,1,1,1,1
uce-32446,1,1,1,1,1
uce-14904,1,1,1,1,.
uce-1152,1,1,1,1,1
uce-2318,1,1,1,1,1
uce-1567,1,1,.,1,1
uce-6348,1,1,1,1,.
uce-34707,.,1,1,1,1
uce-8836,1,1,1,1,.
uce-34705,1,1,1,1,.
uce-1561,1,1,1,1,1
uce-28751,1,1,1,1,.
uce-9524,1,1,1,1,.
uce-2088,1,1,1,1,.
uce-22662,1,1,1,1,1
uce-22660,.,.,1,.,.
uce-24931,1,1,1,1,.
uce-25159,.,1,1,1,1
uce-26336,1,1,1,1,1
uce-20434,1,1,1,1,.
uce-20435,1,1,1,1,.
uce-36459,1,1,1,1,1
uce-25157,1,1,1,1,.
uce-2084,1,1,1,1,1
uce-16753,1,1,1,1,.
uce-2086,.,1,1,1,1
uce-39967,1,1,1,1,1
uce-24750,1,1,1,1,.
uce-6298,1,1,1,1,.
uce-22234,.,1,1,1,1
uce-5204,1,1,1,1,1
uce-19992,1,1,.,1,1
uce-27948,1,1,1,1,.
uce-20606,.,.,.,.,.
uce-6729,1,1,1,1,.
uce-1410,1,1,1,1,1
uce-38362,1,1,1,1,.
uce-1419,1,1,1,1,.
uce-7760,1,1,1,1,1
uce-28689,1,1,1,1,.
uce-28688,1,1,1,1,1
uce-39364,1,1,1,1,.
uce-1980,.,.,.,.,.
uce-13298,1,1,1,1,1
uce-14012,1,1,1,1,.
uce-2880,1,1,1,1,.
uce-31176,1,1,1,1,1
uce-31175,1,1,1,1,1
uce-31174,1,1,1,1,1
uce-31173,1,1,1,1,1
uce-17608,1,1,1,1,.
uce-31171,1,1,1,1,1
uce-26949,.,1,1,1,1
uce-21267,1,1,1,1,1
uce-21264,1,1,1,1,1
uce-21263,1,1,1,1,1
uce-17603,1,1,1,1,1
uce-13565,1,1,1,1,.
uce-13567,.,.,1,.,1
uce-13561,.,1,1,1,1
uce-37616,1,1,1,1,.
uce-11820,1,1,1,1,1
uce-3359,1,1,.,1,1
uce-33994,1,1,1,1,.
uce-33993,1,1,1,1,1
