type,psi,value,lower_CI,upper_CI
gene,1,54.9,49.85994397759104,59.943977591036415
gene,2,3.92,2.2408963585434174,6.162464985994398
gene,3,2.8,1.1204481792717087,4.481792717086835
gene,4,38.38,33.33333333333333,43.13725490196079
site,1,62.23,57.797918506855105,66.24678367064789
site,2,20.81,17.28176965321249,24.386497177310957
site,3,16.96,13.820615230999653,20.166865086984902
site,4,0,0,0
quartet,1,74.72,70.30812324929971,79.27170868347339
quartet,2,12.84,9.243697478991598,16.246498599439775
quartet,3,12.44,8.96358543417367,15.966386554621847
quartet,4,0,0,0
