ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
67,33.76,2.14,1.71,62.39,79,5,4,146,234,29.52,51.16,19.33,0,53.76,93.28,35.21,0,182.25,54.47,23.01,22.52,0,127.45,53.84,52.7,0,234,1,0,0,0.00968203,0.0437276
68,4.86,0.54,0.36,94.23,27,3,2,523,555,59.73,20.27,20,0,23.1,7.77,7.74,0,38.61,36.67,33.2,30.13,0,203.52,184.25,167.23,0,555,0.8,0.1,0,0.00494347,0.00584745
69,1.13,0.16,0,98.71,7,1,0,614,622,36.27,34.45,29.28,0,125.01,118.68,100.83,0,344.52,38.04,33.73,28.23,0,236.63,209.8,175.57,0,622,1,0,0,0.00246376,0.0084033
70,0.66,0.49,0.33,98.52,4,3,2,600,609,61.45,19.78,18.77,0,114.19,36.72,34.82,0,185.73,33.05,33.49,33.46,0,201.3,203.92,203.77,0,609,0.3,0.4,0.3,9.48245e-4,0
71,7.71,1.93,1.58,88.79,44,11,9,507,571,22.25,44.39,33.36,0,104.7,208.87,156.99,0,470.56,38.08,31.28,30.63,0,217.45,178.63,174.92,0,571,1,0,0,0.00182174,0.00846648
72,5.1,1.63,1.22,92.04,25,8,6,451,490,23.12,40.27,36.62,0,101.15,176.18,160.18,0,437.51,31.63,36.38,31.99,0,155,178.24,156.76,0,490,0.1,0.8,0.1,0.00534228,0
73,2.57,0.32,0.16,96.95,16,2,1,603,622,38.07,31.52,30.41,0,142.82,118.11,114.07,0,375,41.94,29.41,28.65,0,260.85,182.93,178.22,0,622,1,0,0,0.00373314,0.0159285
74,9.54,0.85,0.51,89.1,56,5,3,523,587,41.26,34.17,24.57,0,40.67,33.72,24.24,0,98.63,47.24,27.79,24.97,0,277.33,163.12,146.55,0,587,1,0,0,0.00858788,0.027029
75,7.46,4.48,0,88.06,5,3,0,59,67,37.24,36.95,25.81,0,6.44,6.47,4.46,0,17.37,41.99,35.65,22.37,0,28.13,23.88,14.99,0,67,0.8,0.2,0,0.00556568,0.0149301
76,2.82,4.23,2.82,90.14,2,3,2,64,71,47.72,29.98,22.3,0,16.04,10.12,7.51,0,33.67,39.07,40.83,20.1,0,27.74,28.99,14.27,0,71,0.4,0.6,0,0.00401243,0.00942949
