tip.name,family,superfamily,order,superorder,subclass
ancistrocheirus_lesueurii,Ancistrocheiridae,,Oegopsida,Decapodiformes,Coleoidea
architeuthis_dux,Architeuthidae,,Oegopsida,Decapodiformes,Coleoidea
histioteuthis_corona_inermis,Histioteuthidae,,Oegopsida,Decapodiformes,Coleoidea
gonatus_onyx,Gonatidae,,Oegopsida,Decapodiformes,Coleoidea
onychoteuthis_banksii,Onychoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
argonauta_hians,Argonautidae,Argonautoidea,Incirrata,Octopodiformes,Coleoidea
haliphron_atlanticus,Alloposidae,Argonautoidea,Incirrata,Octopodiformes,Coleoidea
tremoctopus_violaceus,Tremoctopodidae,Argonautoidea,Incirrata,Octopodiformes,Coleoidea
hapalochlaena_lunulata,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopusbimaculoides--genome,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopussinensis--genome,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopusvulgaris--genome,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopus_oliveri,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopusminor--genome,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
benthoctopus_normani,Enteroctopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
octopus_californicus,Octopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
enteroctopus_dofleini,Enteroctopodidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
japetella_diaphana,Amphitretidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
pareledone_charcoti,Megaleledonidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
eledone_cirrhosa,Eledonidae,Octopodoidea,Incirrata,Octopodiformes,Coleoidea
opisthoteuthis_californiana,Opisthoteuthidae,,Cirrata,Octopodiformes,Coleoidea
vampyroteuthis_infernalis,Vampyroteuthidae,,Vampyromorphina,Octopodiformes,Coleoidea
engina_mendicaria,Pisaniidae,,,,
gymnodoris_subflava,Polyceridae,,,,
patelloida_saccharina,Lottiidae,,,,
nautiluspompilius--genome,Nautilidae,,,,Nautiloidea
nautilus_macromphalus,Nautilidae,,,,Nautiloidea
idiosepius_sp,Idiosepiidae,,Idiosepiida,Decapodiformes,Coleoidea
heteroteuthis_hawaiensis,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
rossia_pacifica,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
sepiola_parva,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
eumandyaparva--genome,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
sepiettaobscura--genome,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
sepiolaatlantica--genome,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
sepiolaaffinis--genome,Sepiolidae,,Sepiolida,Decapodiformes,Coleoidea
sepiadarium_kochi_mainland,Sepiadariidae,,Sepiolida,Decapodiformes,Coleoidea
sepiadarium_kochi_okinawa,Sepiadariidae,,Sepiolida,Decapodiformes,Coleoidea
sepioteuthis_lessoniana,Loliginidae,,Myopsida,Decapodiformes,Coleoidea
doryteuthisopalescens--genome,Loliginidae,,Myopsida,Decapodiformes,Coleoidea
doryteuthispealeii--genome,Loliginidae,,Myopsida,Decapodiformes,Coleoidea
metasepia_tulbergi,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
sepia_latimanus,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
ascarosepionbandense--genome,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
sepia_pharaonis,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
acanthosepionlycidas--genome,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
acanthosepionesculentum--genome,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
sepiaofficianalis--genome,Sepiidae,,Sepiida,Decapodiformes,Coleoidea
spirulaspirula--genome,Spirulidae,,Spirulida,Decapodiformes,Coleoidea
bathyteuthis_abyssicola,Bathyteuthidae,,Bathyteuthoidea,Decapodiformes,Coleoidea
chtenopteryx_sicula,Chtenopterygidae,,Bathyteuthoidea,Decapodiformes,Coleoidea
cranchia_scabra,Cranchiidae,,Oegopsida,Decapodiformes,Coleoidea
galituethis_sp,Cranchiidae,,Oegopsida,Decapodiformes,Coleoidea
nototodarus_hawaiiensis,Ommastrephidae,,Oegopsida,Decapodiformes,Coleoidea
thysanoteuthis_rhombus,Thysanoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
brachioteuthis_beanii,Brachioteuthidae,,Oegopsida,Decapodiformes,Coleoidea
discoteuthis_sp,Cycloteuthidae,,Oegopsida,Decapodiformes,Coleoidea
spirula_spirula,Spirulidae,,Spirulida,Decapodiformes,Coleoidea
chiroteuthis_picteti,Chiroteuthidae,,Oegopsida,Decapodiformes,Coleoidea
joubiniteuthis_portieri,Joubiniteuthidae,,Oegopsida,Decapodiformes,Coleoidea
mastigoteuthis_agassizii,Mastigoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
pholidoteuthis_adami,Pholidoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
pholidoteuthis_massyae,Pholidoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
octopoteuthis_nielseni,Octopoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
pterygioteuthis_gemmata,Pyroteuthidae,,Oegopsida,Decapodiformes,Coleoidea
selenoteuthis_scintillans,Lycoteuthidae,,Oegopsida,Decapodiformes,Coleoidea
enoploteuthis_anapsis,Enoploteuthidae,,Oegopsida,Decapodiformes,Coleoidea
