"AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
341781,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=341781","Haliphron atlanticus","Steenstrup, 1861","accepted",NA,220,"Species",341781,"Haliphron atlanticus","Steenstrup, 1861",137643,"Animalia","Mollusca","Cephalopoda","Octopoda","Alloposidae","Haliphron","MolluscaBase eds. (2025). MolluscaBase. Haliphron atlanticus Steenstrup, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341781 on 2025-06-19","urn:lsid:marinespecies.org:taxname:341781",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
138747,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138747","Ancistrocheirus lesueurii","(A. d'Orbigny, 1835)","accepted",NA,220,"Species",138747,"Ancistrocheirus lesueurii","(A. d'Orbigny, 1835)",137649,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus","MolluscaBase eds. (2025). MolluscaBase. Ancistrocheirus lesueurii (A. d'Orbigny, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138747 on 2025-06-19","urn:lsid:marinespecies.org:taxname:138747",1,0,0,0,NA,"exact","2024-09-09T16:17:07.777Z"
342218,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=342218","Architeuthis dux","Steenstrup, 1857","accepted",NA,220,"Species",342218,"Architeuthis dux","Steenstrup, 1857",156850,"Animalia","Mollusca","Cephalopoda","Oegopsida","Architeuthidae","Architeuthis","MolluscaBase eds. (2025). MolluscaBase. Architeuthis dux Steenstrup, 1857. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=342218 on 2025-06-19","urn:lsid:marinespecies.org:taxname:342218",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
138803,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138803","Argonauta argo","Linnaeus, 1758","accepted",NA,220,"Species",138803,"Argonauta argo","Linnaeus, 1758",137676,"Animalia","Mollusca","Cephalopoda","Octopoda","Argonautidae","Argonauta","MolluscaBase eds. (2025). MolluscaBase. Argonauta argo Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138803 on 2025-06-19","urn:lsid:marinespecies.org:taxname:138803",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
215276,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=215276","Argonauta hians","[Lightfoot], 1786","accepted",NA,220,"Species",215276,"Argonauta hians","[Lightfoot], 1786",137676,"Animalia","Mollusca","Cephalopoda","Octopoda","Argonautidae","Argonauta","MolluscaBase eds. (2025). MolluscaBase. Argonauta hians [Lightfoot], 1786. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=215276 on 2025-06-19","urn:lsid:marinespecies.org:taxname:215276",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
1530663,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1530663","Argonauta nodosus","[Lightfoot], 1786","accepted",NA,220,"Species",1530663,"Argonauta nodosus","[Lightfoot], 1786",137676,"Animalia","Mollusca","Cephalopoda","Octopoda","Argonautidae","Argonauta","MolluscaBase eds. (2025). MolluscaBase. Argonauta nodosus [Lightfoot], 1786. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1530663 on 2025-06-19","urn:lsid:marinespecies.org:taxname:1530663",1,0,0,0,NA,"exact","2021-08-16T05:05:24.420Z"
341786,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=341786","Argonauta nouryi","Lorois, 1852","accepted",NA,220,"Species",341786,"Argonauta nouryi","Lorois, 1852",137676,"Animalia","Mollusca","Cephalopoda","Octopoda","Argonautidae","Argonauta","MolluscaBase eds. (2025). MolluscaBase. Argonauta nouryi Lorois, 1852. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341786 on 2025-06-19","urn:lsid:marinespecies.org:taxname:341786",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
140596,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=140596","Bathypolypus arcticus","(Prosch, 1849)","accepted",NA,220,"Species",140596,"Bathypolypus arcticus","(Prosch, 1849)",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus arcticus (Prosch, 1849). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140596 on 2025-06-19","urn:lsid:marinespecies.org:taxname:140596",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
157011,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=157011","Bathypolypus bairdii","(A. E. Verrill, 1872)","accepted",NA,220,"Species",157011,"Bathypolypus bairdii","(A. E. Verrill, 1872)",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus bairdii (A. E. Verrill, 1872). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157011 on 2025-06-19","urn:lsid:marinespecies.org:taxname:157011",1,0,0,0,NA,"exact","2025-03-09T18:58:15.440Z"
527146,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=527146","Bathypolypus ergasticus","(P. Fischer & H. Fischer, 1892)","accepted",NA,220,"Species",527146,"Bathypolypus ergasticus","(P. Fischer & H. Fischer, 1892)",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus ergasticus (P. Fischer & H. Fischer, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=527146 on 2025-06-19","urn:lsid:marinespecies.org:taxname:527146",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
181387,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=181387","Bathypolypus pugniger","Muus, 2002","accepted",NA,220,"Species",181387,"Bathypolypus pugniger","Muus, 2002",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus pugniger Muus, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=181387 on 2025-06-19","urn:lsid:marinespecies.org:taxname:181387",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
