"family","n"
"Alloposidae",1
"Ancistrocheiridae",1
"Architeuthidae",1
"Argonautidae",4
"Bathypolypodidae",7
"Bathyteuthidae",6
"Brachioteuthidae",7
"Chiroteuthidae",17
"Chtenopterygidae",3
"Cranchiidae",1
"Cycloteuthidae",4
"Eledonidae",7
"Enoploteuthidae",43
"Enteroctopodidae",34
"Gonatidae",20
"Histioteuthidae",18
"Idiosepiidae",8
"Joubiniteuthidae",1
"Lepidoteuthidae",1
"Loliginidae",45
"Lycoteuthidae",5
"Mastigoteuthidae",16
"Megaleledonidae",41
"Nautilidae",1
"Octopodidae",95
"Octopoteuthidae",8
"Onychoteuthidae",26
"Opisthoteuthidae",21
"Pholidoteuthidae",2
"Pyroteuthidae",7
"Sepiadariidae",10
"Sepiidae",76
"Spirulidae",1
"Thysanoteuthidae",3
"Tremoctopodidae",4
"Vampyroteuthidae",2
